QueryId,Query
Q0148,What\'s the operating time of the customer zone?
Q0149,Can Only natural guardian be a appointee nominee?
Q0150,What are the mode of payments during pendency of the mandate?
Q0151,Can a single mandate be used for multiple policies?
Q0152,What is premium under policy?
Q0153,Can minor child make nomination?
Q0154,How i will come to know the loan amount available under the policy?
Q0155,Whether any online loan quotation will be available?
Q0156,What is the SMS charge for getting loan information through SMS?
Q0157,My loan has been fully recovered from survival benefit. Whether I should receive original policy document'
Q0158,When will I get the bonus payment?
Q0159,What are the different reasons of mandate rejections?
Q0160,Does LIC charges any fee for nomination?
Q0161,How much alteration charges are required for mode change?
Q0162,In case of casualty of minor policyholder who will receive the money?
Q0163,Can i pay back loan in cash above fifty thousand?
Q0164,Can i pay the premium in advance?
Q0165,Can I pay back full loan amount anytime?
Q0166,Can I make nomination in favour of my friend though my spouse or father mother is present?
Q0167,Whether any fee is charged to get loan quotation?
Q0168,Do I need sign of agent for nomination?
Q0169,Whether LIC will grant the loan under the policy?
Q0170,"How many days of grace are allowed under yearly, half- yearly or quarterly mode of payment?"
Q0171,Whether extra paid for non-standard age proof will be removed after submission of standard age proof?
Q0172,What are the services available online in customer portal?
Q0173,What is mean by age proof?
Q0174,Are you there?
Q0175,How to register for premium payment through bill Pay/ATM?
Q0176,What are the benefits of assignment to policyholder?
Q0177,What is difference between absolute assignment and conditional assignment?
Q0178,How much of the surrender value I will get as a Loan?
Q0179,Enquire about loan repayment?
Q0180,What is meant by re-assignment?
Q0181,Why signature is not present in my receipt?
Q0182,Can nomination be done when the Policy is lapsed?
Q0183,What action should I take if the bank rejects my NACH mandate?
Q0184,Tell me about assignment?
Q0185,Where can one use successive type of nomination?
Q0186,What value should be written for‚ FROM DATE‚ (Start Date) field?
Q0187,How much insurance do I need?
Q0188,What are all the policy types which could be registered through bill pay?
Q0189,How to download NACH mandate form?
Q0190,Why my premium status is not updated on payment through service provider/bank?
Q0191,Are there any downloading options given in the portal ?
Q0192,Is any relation will be there between age and premium to be calculated under the policy?
Q0193,"I want to apply for the loan, what are the requirements?"
Q0194,Whether there are charges for payments through debit cards?
Q0195,What is the condition for proportionate adjustment of loan amount?
Q0196,"My loan has been fully recovered from maturity claim, whether I will get original policy document'"
Q0197,Where can I repay my loan?
Q0198,"Under online loan facility, where i will submit loan requirements?"
Q0199,Who else has the authority to assing the policy other than the policy holder?
Q0200,Can assignee make Nomination in favor of his/ her family?
Q0201,Can I change my nominee?
Q0202,Nomination is possible in policies financed by HUF fund?
Q0203,Can i get a loan on the same policy again?
Q0204,How to add the policy details at the authorized bank/service provider\'s website?
Q0205,What other prints can I take?
Q0206,What documents are required for applying loan?
Q0207,Whether assignment for valuable consideration will cancel the nomination?
Q0208,Can I pay my full loan amount in the nearest branch?
Q0209,What are the types of assignment?
Q0210,Whether can I assign the policy for part of the sum assured?
Q0211,I have paid twice at EBPP portal.
Q0212,Why should I buy policy online?
Q0213,What is premium redirection?
Q0214,Where i will get the information for taking online loan under the policy?
Q0215,What is NEFT?
Q0216,What should I do to get the maturity money from the policy?
Q0217,I am not able to pay the arrears of premium at once.
Q0218,Whether any concession is granted by LIC to pay the premium on due date?
Q0219,What are the restrictions put on sum assured for submitting non-standard age proof?
Q0220,Can I submit standard age proof after issue of policy where non-standard age proof is submitted earlier?
Q0221,"I took loan on my policy but could not reapy, now my policy is closed. What should I do?"
Q0222,I did not receive your annuity on due date.
Q0223,What do you mean by non-standard age proof?
Q0224,"I have fully repaid loan and loan interest, whether I will get my policy document back'"
Q0225,Whether any SMS is being sent policy holder for paying loan interest?
Q0226,What is the minimum amount of loan I can get from my policy?
Q0227,Want to change mode quarterly to yearly in my policy.
Q0228,How the premium is fixed under the policy?
Q0229,How are you?
Q0230,Whether nominee is having any right during the life time of the life assured?
Q0231,What are the benefits of paying LIC premiums through net-banking/phone-banking?
Q0232,What are the different annuity options?
Q0233,What is bill pay facility of paying premium?
Q0234,What will happen if I do not pay the premium on due date?
Q0235,How can I exercise nomination of my LIC policies?
Q0236,Can you give the details of the requirements for maturity claim?
Q0237,Is there any additional charges for registration of assignment reqest?
Q0238,Whether policy should be inforce for granting the loan?
Q0239,Whether LIC can refuse loan under the policy?
Q0240,What documents should be submitted for doing assignment?
Q0241,Can I pay the premium through mobile?
Q0242,"I have taken policy under MWP act, whether I can raise the loan?"
Q0243,How can I get the claim if the policy holder is no more?
Q0244,How to register with the authorised banks?
Q0245,Whether nominee can raise loan under the policy?
Q0246,I have lost my original policy document. Whether I will be eligible to get loan?
Q0247,While raising the loan under the policy whether consent of nominee is required?
Q0248,Can loan be paid partially?
Q0249,What are different online payment methods?
Q0250,Can I cancel nomination without consent of nominee?
Q0251,"I have forgotten to pay my premium within days of grace, What will happen to my policy now?"
Q0252,Can I do loan cum revival?
Q0253,What is importance of age proof?
Q0254,Can I pay the premium through any franchisees?
Q0255,Whether monthly EMI facility is available for repayment of loan?
Q0256,How the method of proportionate adjustment of loan will work?
Q0257,How long will you take to answer my query?
Q0258,How far from here?
Q0259,Can I take loan on Policy without knowledge of nominee?
Q0260,"I have lost my policy document, whether I should get duplicate policy first?"
Q0261,Whether assignment can be done in favour of two or more persons?
Q0262,Am I eligible for assignment?
Q0263,Are there any SMS services avaible for customers?
Q0264,What are types of revival?
Q0265,What is the difference between basic and premier services ?
Q0266,Whether I can raise loan as per my need?
Q0267,What are the types of non standard age proof?
Q0268,My policy is a Joint life policy do I need to make nominations?
Q0269,Can nomination be done in assigned policy?
Q0270,Are women eligible for Life Insurance?
Q0271,Nomination is possible in case of MWP ACT policies?
Q0272,I want to check nomination under my Policy.
Q0273,I want to known branch address'
Q0274,What is existence certificate?
Q0275,I need information about appointee in nomination.
Q0276,How can I pay premium using NACH?
Q0277,"For taking loan under the policy, whether i have bring any surety?"
Q0278,What are the limitations of assigning a policy to a minor?
